Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
1,0.5142,1.504,-0.1574,31,11.856,4.43
1,0.9164,2.0414,-0.374,47,11.856,4.43
1,2.7671,1.834,0.4594,47,11.664,4.43
1,2.4032,1.834,0.4594,68,11.664,4.43
1,-0.6997,0.434,1.0703,68,11.664,4.43
1,0.847,0.9102,-0.3731,49,11.664,4.43
1,3.1909,1.0475,0.1113,49,10.571,4.43
1,-1.8142,0.0898,0.2059,51,10.571,4.43
1,1.2767,0.6908,-0.7388,51,10.571,4.43
1,0.0545,0.6908,-0.7388,47,15.867,4.43
1,-0.6674,0.4555,0.5727,47,15.867,4.43
1,0.0198,0.1946,-0.647,41,15.867,4.43
1,2.2883,1.0157,-0.5487,41,10.946,4.43
1,1.2767,1.4559,0.3005,55,10.946,4.43
1,3.6159,1.9335,-0.2662,55,10.946,4.43
1,-0.1466,1.1127,-0.1728,34,20.672,4.43
1,0.8829,1.1127,-0.1728,34,20.672,4.43
1,1.9459,0.9528,0.4177,30,20.672,4.43
1,0.0748,0.1127,0.0028,30,20.672,4.43
1,2.4415,0.7318,-0.475,30,13.146,4.43
1,-1.2049,0.7239,0.9816,29,13.146,4.43
1,0.2963,1.2234,0.0878,29,13.146,4.43
1,1.2348,1.2234,0.0878,29,17.483,4.43
1,2.3888,1.1731,-0.0161,29,17.483,4.43
1,0.5872,1.612,0.0037,29,17.483,4.43
1,1.8873,1.7195,-0.1483,29,15.182,4.43
1,0.8242,1.4737,-0.0446,29,15.182,4.43
1,1.7065,1.4104,0.0111,29,15.182,4.43
1,1.8681,1.4104,0.0111,29,12.857,4.43
1,1.248,0.825,-0.0315,29,12.857,4.43
1,2.73,1.1346,-0.3173,29,12.857,4.43
1,0.7907,0.9626,0.8115,29,12.857,4.43
1,0.2568,1.0058,-0.2646,29,17.958,4.43
1,0.8913,0.6654,-0.4322,29,17.958,4.43
1,0.258,0.6654,-0.4322,46,17.958,4.43
1,1.1044,1.0119,-0.1123,46,13.123,4.43
1,0.7739,1.3458,0.8564,39,13.123,4.43
1,1.2899,1.122,-0.0381,39,13.123,4.43
1,1.3605,1.4821,-0.4658,39,13.245,4.43
1,1.4132,0.9323,0.0125,58,13.245,4.43
1,0.0485,0.9323,0.0125,58,13.245,4.43
1,1.9986,0.4266,0.7781,46,11.506,4.43
1,0.6554,0.6887,0.3683,46,11.506,4.43
1,0.2628,1.1596,-0.3177,37,11.506,4.43
1,1.351,1.1788,-0.2563,37,11.506,4.43
1,0.7644,1.5681,-0.2919,37,15.308,4.43
1,2.2009,2.5491,0.5849,36,15.308,4.43
1,1.515,2.5491,0.5849,36,15.308,4.43
1,2.1315,1.513,-0.0787,36,16.776,4.43
1,2.1865,2.0248,-0.7552,32,16.776,4.43
1,2.3505,2.2449,0.3062,32,16.776,4.43
1,2.6654,2.08,1.0121,30,9.902,4.43
1,6.3201,1.9674,-1.047,30,9.902,4.43
1,-0.3729,1.9674,-1.047,30,9.902,4.43
1,0.7668,1.6655,-0.5792,28,15.834,4.43
1,0.0988,0.9203,0.0804,28,15.834,4.43
1,1.4431,1.0666,-0.2169,28,15.834,4.43
1,0.8398,1.1746,0.5088,28,15.834,4.43
1,-0.2496,0.0705,0.4104,28,10.794,4.43
1,-0.155,0.0705,0.4104,30,10.794,4.43
1,1.1079,0.9657,-0.8601,30,10.794,4.43
1,0.8003,0.7696,0.3674,30,10.271,4.43
1,0.0222,-0.1842,0.1682,30,10.271,4.43
1,0.0401,-0.3918,-0.0246,37,10.271,4.43
1,-0.5405,-0.2083,0.3804,37,10.36,4.43
1,0.6339,-0.2083,0.3804,45,10.36,4.43
1,-0.4196,0.0348,-0.7648,45,10.36,4.43
1,1.0301,0.1043,-0.2307,116,10.36,4.43
1,-1.2336,0.3493,-0.442,116,10.103,4.43
1,-2.1147,-0.0857,0.4924,170,10.103,4.43
1,0.3825,0.732,-0.8471,170,10.103,4.43
1,0.9344,0.732,-0.8471,182,11.007,4.43
1,1.4623,0.3126,0.7873,182,11.007,4.43
1,-0.9463,-0.6976,-0.2673,122,11.007,4.43
1,1.6478,-0.1858,0.0724,122,11.463,4.43
1,-2.2523,-0.3187,0.4291,108,11.463,4.43
1,-1.163,-0.5137,-0.3811,108,11.463,4.43
1,-0.5896,-0.5137,-0.3811,71,11.225,4.43
1,0.2616,-0.025,-0.7715,71,11.225,4.43
1,0.7895,0.4172,-0.1229,60,11.225,4.43
1,1.7783,0.2943,0.7048,60,10.716,4.43
1,-2.3457,-0.0597,0.4017,30,10.716,4.43
1,1.0421,0.6846,0.2391,30,10.716,4.43
1,1.1127,0.1729,0.0168,30,10.716,4.43
1,0.2317,0.1729,0.0168,30,11.006,4.43
1,-1.9255,-1.1105,0.241,32,11.006,4.43
1,-0.2448,-1.3583,0.2849,32,11.006,4.43
1,-1.3784,-0.4913,0.0131,33,12.513,4.43
1,-0.3298,-0.0849,-0.4406,33,12.513,4.43
1,0.3993,0.6719,-0.2431,33,12.513,4.43
1,-0.3525,0.6719,-0.2431,33,12.195,4.43
1,-2.396,0.4252,0.4717,33,12.195,4.43
1,0.2879,-0.6587,0.7414,37,12.195,4.43
1,1.0924,0.3646,-0.8018,37,12.72,4.43
1,0.0976,-0.0557,0.4015,37,12.72,4.43
1,-1.5808,-0.8934,-0.6692,37,12.72,4.43
1,1.26,-0.8934,-0.6692,41,12.72,4.43
1,-1.8705,-0.5757,0.3302,41,12.775,4.43
1,0.2005,0.001,-0.268,41,12.775,4.43
1,-1.3461,0.115,-0.1151,41,12.775,4.43
1,1.1726,1.0453,0.0525,50,11.286,4.43
1,0.5764,1.0676,0.0841,50,11.286,4.43
1,0.7799,1.0676,0.0841,65,11.286,4.43
1,0.7105,0.6456,-0.2035,65,13.711,4.43
1,0.5369,0.6113,-0.2074,80,13.711,4.43
1,2.0896,1.0812,0.2737,80,13.711,4.43
1,0.9834,0.3301,0.8259,82,12.625,4.43
1,2.9802,1.2147,-0.1215,82,12.625,4.43
1,-2.961,0.676,0.4912,82,12.625,4.39
1,0.58,0.676,0.4912,82,12.625,4.39
1,0.3442,0.7735,-0.7014,71,13.925,4.39
1,2.05,0.9916,-0.573,71,13.925,4.39
1,1.321,1.0766,0.0049,47,13.925,4.39
1,1.8382,0.8057,0.2703,47,12.611,4.39
1,-1.1797,0.3031,0.5837,33,12.611,4.39
1,1.8286,0.3031,0.5837,33,12.611,4.39
1,0.8961,0.7201,0.1244,45,13.814,4.39
1,0.3621,0.1369,-0.2591,45,13.814,4.39
1,0.8326,-0.0138,0.0486,31,13.814,4.39
1,0.586,-0.0574,0.1255,31,13.13,4.39
1,0.3167,0.3504,-0.1952,27,13.13,4.39
1,-1.1522,0.3504,-0.1952,27,13.13,4.39
1,1.3797,0.707,-0.0315,27,13.13,4.39
1,2.0644,1.0466,0.0241,25,13.864,4.39
1,1.5928,0.8735,-0.0445,25,13.864,4.39
1,1.3186,0.6139,-0.309,23,13.864,4.39
1,-0.4674,1.0726,-0.1132,23,12.923,4.39
1,1.9004,1.0726,-0.1132,23,12.923,4.36
1,0.9511,1.1232,0.3612,23,12.923,4.36
1,1.6071,0.7698,-0.3165,23,15.126,4.36
1,1.7771,0.8599,-0.0983,22,15.126,4.36
1,-0.2316,0.7236,0.4127,22,15.126,4.36
1,0.5776,0.9784,-0.1366,22,14.404,4.36
1,-1.3318,0.8672,-0.3797,22,14.404,4.36
1,1.5126,0.8672,-0.3797,22,14.404,4.36
1,1.6814,1.317,-0.1135,23,14.404,4.36
1,0.2448,1.1218,0.3406,23,13.306,4.36
1,0.1718,0.5069,0.2141,24,13.306,4.36
1,0.1287,0.8768,-0.5034,24,13.306,4.36
1,1.4838,0.8679,0.2668,25,14.103,4.36
1,1.3426,0.8679,0.2668,25,14.103,4.36
1,1.0469,0.3513,-0.2657,30,14.103,4.36
1,1.8825,0.7096,-0.1126,30,13.63,4.36
1,-0.641,0.368,0.4282,42,13.63,4.36
1,0.0569,0.0074,-0.0938,42,13.63,4.36
1,0.3681,0.3309,-0.1142,45,14.735,4.36
1,0.9655,0.3309,-0.1142,45,14.735,4.36
1,0.2376,0.5858,-0.075,43,14.735,4.36
1,1.9495,0.7925,0.2886,43,14.735,4.36
1,-1.57,0.4964,0.4931,43,13.929,4.36
1,1.4288,0.9617,-0.1407,39,13.929,4.36
1,1.0924,0.5262,-0.1861,39,13.929,4.36
1,1.4276,0.5262,-0.1861,38,13.785,4.36
1,0.6087,0.1815,-0.0654,38,13.785,4.36
1,1.2037,0.3605,0.0076,38,13.785,4.36
