Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
3,3.5464,3.3748,-0.0205,171,27.057,0
3,3.2903,3.3123,-0.0812,67,31.673,0
3,3.1514,3.3063,-0.1174,67,31.673,0
3,3.8266,3.3063,-0.1174,24,31.673,0
3,3.8409,3.472,-0.0514,24,31.673,0
3,3.7499,3.5511,-0.0333,20,29.692,0
3,3.5153,3.5088,0.0178,20,29.692,0
3,3.2998,3.4389,0.0029,15,29.692,0
3,3.319,3.3506,-0.0258,15,12.654,0
3,3.2208,3.3506,-0.0258,14,12.654,0
3,3.4052,3.3472,-0.0226,14,12.654,0
3,3.2328,3.3412,-0.0503,14,15.141,0
3,3.5416,3.3406,-0.0045,14,15.141,0
3,3.5943,3.3761,-0.0194,14,15.141,0
3,3.2615,3.3761,-0.0194,14,16.661,0
3,3.3046,3.3443,-0.0088,13,16.661,0
3,3.4626,3.3555,0.0061,13,16.661,0
3,3.4028,3.3555,-0.0024,13,12.372,0
3,3.3489,3.3442,0.004,13,12.372,0
3,3.3752,3.3397,-0.0013,13,12.372,0
3,3.4004,3.3397,-0.0013,13,12.372,0
3,3.4219,3.3392,-0.0003,13,15.465,0
3,3.4004,3.3421,-0.0045,13,15.465,0
3,3.4124,3.3398,0.0029,13,15.465,0
3,3.4124,3.3482,0.0168,13,9.241,0
3,3.4159,3.3322,-0.0003,13,9.241,0
3,3.41,3.3322,-0.0003,13,9.241,0
3,3.3549,3.3433,-0.0109,13,11.82,0
3,3.3764,3.3306,-0.0013,13,11.82,0
3,3.4171,3.3301,0.004,12,11.82,0
3,3.3094,3.3381,-0.0045,12,11.82,0
3,3.3741,3.3273,0.0051,12,10.773,0
3,3.3369,3.3273,0.0051,12,10.773,0
3,3.4004,3.3236,0.0029,12,10.773,0
3,3.3417,3.3119,0.0019,12,4.662,0
3,3.3872,3.3138,-0.0003,12,4.662,0
3,3.3453,3.308,0.0008,12,4.662,0
3,3.3788,3.3082,-0.0173,12,2.641,0
3,3.307,3.3082,-0.0173,11,2.641,0
3,3.1406,3.3036,-0.0045,11,2.641,0
3,3.4375,3.3268,0.0253,11,12.64,0
3,3.307,3.2791,-0.0077,11,12.64,0
3,3.5093,3.3057,-0.0077,11,12.64,0
3,3.289,3.2871,-0.0056,11,12.64,0
3,3.325,3.2871,0.0051,11,11.072,0
3,3.3393,3.2899,0.0008,11,11.072,0
3,3.4339,3.2892,-0.0035,11,11.072,0
3,3.307,3.305,0.0072,11,2.836,0
3,3.3106,3.3055,-0.0013,11,2.836,0
3,3.3932,3.3087,-0.0013,11,2.836,0
3,3.3968,3.3374,-0.013,11,8.615,0
3,3.3657,3.3374,-0.0024,11,8.615,0
3,3.3956,3.3334,0.0189,13,8.615,0
3,3.4147,3.321,0.0019,13,6.668,0
3,3.331,3.309,-0.0045,14,6.668,0
3,3.3489,3.3092,-0.0045,14,6.668,0
3,3.4339,3.3123,-0.0067,14,6.668,0
3,3.3968,3.3123,-0.013,14,6.454,0
3,3.4076,3.3322,-0.0099,13,6.454,0
3,3.313,3.3265,0.0136,13,6.454,0
3,3.3884,3.3037,0.0178,13,9.572,0
3,3.2891,3.3027,0.0178,13,9.572,0
3,3.3405,3.292,0.0029,13,9.572,0
3,3.3693,3.292,0.0019,13,8.307,0
3,3.3345,3.2873,-0.0386,12,8.307,0
3,3.4016,3.2927,-0.0141,12,8.307,0
3,3.4351,3.2967,0.0061,12,5.488,0
3,3.2998,3.3016,0.0061,11,5.488,0
3,3.3561,3.3031,-0.0056,11,5.488,0
3,3.3441,3.3031,0.004,11,5.488,0
3,3.2926,3.3076,-0.0003,9,1.854,0
3,3.3501,3.302,-0.0003,9,1.854,0
3,3.3333,3.2978,-0.0045,9,1.854,0
3,3.3645,3.2948,0.0019,10,2.174,0
3,3.3214,3.2943,0.0019,10,2.174,0
3,3.2962,3.2991,-0.0013,10,2.174,0
3,3.3202,3.2991,-0.0013,10,-0.272,0
3,3.3645,3.3036,-0.0024,10,-0.272,0
3,3.3645,3.3098,0.0008,10,-0.272,0
3,3.3585,3.3137,0.0051,10,1.539,0
3,3.3501,3.3131,0.0051,10,1.539,0
3,3.3238,3.3141,-0.0024,10,1.539,0
3,3.3357,3.3141,-0.0013,10,2.363,0
3,3.3298,3.3183,0.0104,10,2.363,0
3,3.3561,3.3126,0.0019,10,2.363,0
3,3.3393,3.3212,0.0019,10,2.363,0
3,3.3166,3.318,0.0019,10,0.196,0
3,3.3657,3.3129,0.0157,10,0.196,0
3,3.3609,3.3129,0.0061,10,0.196,0
3,3.41,3.3119,0.0114,10,0.474,0
3,3.3238,3.3153,0.0114,10,0.474,0
3,3.3238,3.3071,0.0061,10,0.474,0
3,3.3274,3.3035,0.0061,10,-0.471,0
3,3.3489,3.3062,0.0019,10,-0.471,0
3,3.3513,3.3062,0.0019,10,-0.471,0
3,3.3333,3.3014,-0.0088,10,-0.113,0
3,3.4147,3.3001,-0.0045,10,-0.113,0
3,3.3525,3.3033,-0.0035,10,-0.113,0
3,3.3549,3.3025,-0.0035,10,-0.113,0
3,3.3357,3.3003,0.0072,10,0.442,0
3,3.3333,3.3003,0.004,10,0.442,0
3,3.3238,3.3002,0.0008,10,0.442,0
3,3.3501,3.2998,0.0029,10,-1.05,0
3,3.3118,3.3012,0.0019,10,-1.05,0
3,3.2974,3.2961,0.0008,10,-1.05,0
3,3.319,3.2978,0.0008,10,1.267,0
3,3.3549,3.2978,0.0029,10,1.267,0
3,3.3645,3.3008,0.004,10,1.267,0
3,3.3573,3.2994,0.004,10,1.267,0
3,3.3621,3.3056,0.0008,10,1.684,0
3,3.3501,3.3121,-0.0013,10,1.684,0
3,3.3453,3.3183,-0.0013,10,1.684,0
3,3.3693,3.3244,0.0008,10,1.47,0
3,3.3764,3.3244,-0.0024,10,1.47,0
3,3.3453,3.3315,-0.0024,10,1.47,0
3,3.295,3.3328,0.0125,10,11.094,0
3,3.4076,3.3283,0.0125,10,11.094,0
3,3.3549,3.3283,0.0125,10,11.094,0
3,3.386,3.3011,0.0104,10,30.64,0
3,3.4411,3.3011,-0.0066,137,30.64,0
3,3.228,3.3082,0.0402,137,30.64,0
3,3.3309,3.284,-0.0002,129,30.64,0
3,3.2998,3.2622,0.0115,129,36.199,0
3,3.1394,3.2653,0.0115,162,36.199,0
3,3.1179,3.2477,0.0211,162,36.199,0
3,3.5345,3.2477,-0.0588,164,26.563,0
3,3.4387,3.2561,0.0125,164,26.563,0
3,3.2352,3.2462,-0.0184,164,26.563,0
3,3.5057,3.2665,-0.013,164,17.238,0
3,3.6781,3.2909,-0.013,164,17.238,0
3,3.1825,3.2818,-0.0088,164,17.238,0
3,3.2639,3.2818,0.0179,164,20.37,0
3,3.3621,3.28,0.0253,164,20.37,0
3,3.5943,3.308,-0.0077,164,20.37,0
3,3.4818,3.3146,-0.0077,164,16.499,0
3,3.1442,3.3046,-0.0109,164,16.499,0
3,3.489,3.2942,-0.0247,164,16.499,0
3,3.5285,3.3117,-0.013,164,16.499,0
3,3.3154,3.3117,0.0083,164,15.439,0
3,3.2723,3.3171,0.053,164,15.439,0
3,3.5548,3.3385,0.053,164,15.439,0
3,3.6398,3.3762,-0.0418,164,21.595,0
3,3.3022,3.3999,-0.0258,164,21.595,0
3,3.3286,3.42,-0.0024,154,21.595,0
3,3.6542,3.42,0.0104,154,19.568,0
3,3.6805,3.4493,0.0125,120,19.568,0
3,3.3453,3.4496,0.0125,120,19.568,0
3,3.6446,3.4487,-0.0333,73,19.568,0
3,3.5153,3.4399,-0.0045,73,15.409,0
3,3.495,3.4343,-0.0034,46,15.409,0
3,3.3046,3.4343,-0.0013,46,15.409,0
3,3.5165,3.391,0.0083,47,10.78,0
3,3.6171,3.4228,0.0083,47,10.78,0
3,3.3298,3.4163,-0.0215,69,10.78,0
3,3.4938,3.4023,-0.0098,69,10.003,0
3,3.5093,3.4229,-0.0098,66,10.003,0
3,3.4602,3.4229,0.0019,66,10.003,0
3,3.471,3.451,0.0189,66,15.005,0
3,3.4866,3.4491,0.0189,85,15.005,0
3,3.1969,3.4376,0.0264,85,15.005,0
3,3.6027,3.3988,-0.0184,77,15.005,0
3,3.6338,3.3948,0.0157,77,20.898,0
3,3.3309,3.388,0.0573,59,20.898,0
3,3.3298,3.3556,-0.0056,59,20.898,0
3,3.2591,3.3556,-0.0056,12,18.511,0
3,3.404,3.3593,-0.0088,12,18.511,0
3,3.7045,3.3766,-0.0162,12,18.511,0
3,3.2998,3.3831,0.0264,12,15.721,0
3,3.3788,3.3692,-0.013,12,15.721,0
3,3.5129,3.3857,-0.013,12,15.721,0
3,3.5201,3.3928,0.0179,12,14.499,0
3,3.5189,3.3928,0.0179,12,14.499,0
3,3.4578,3.391,0.0115,12,14.499,0
3,3.4997,3.392,-0.0013,12,14.499,0
3,3.4363,3.3933,0.0157,13,6.403,0
3,3.4339,3.3669,0.0434,13,6.403,0
3,3.4543,3.3496,0.0072,16,6.403,0
3,3.2531,3.3496,0.0072,16,11.806,0
3,3.3477,3.3399,-0.0237,16,11.806,0
3,3.4986,3.359,-0.0109,13,11.806,0
3,3.477,3.4001,0.0104,13,5.712,0
3,3.5225,3.393,0.004,12,5.712,0
3,3.3609,3.3677,-0.0024,12,5.712,0
3,3.3166,3.3677,-0.0024,12,3.75,0
3,3.3154,3.3433,0.0008,12,3.75,0
3,3.3992,3.351,0.003,11,3.75,0
3,3.4028,3.3628,-0.0056,11,3.75,0
3,3.4734,3.3679,0.003,11,2.183,0
3,3.2926,3.3582,-0.0056,11,2.183,0
3,3.3178,3.3628,0.0094,11,2.183,0
3,3.3441,3.3628,0.0094,11,9.162,0
3,3.4722,3.3632,0.0051,11,9.162,0
3,3.3645,3.3928,0.0083,11,9.162,0
3,3.3908,3.3775,-0.0013,11,2.519,0
3,3.4183,3.3721,-0.0098,11,2.519,0
3,3.4399,3.3776,-0.0098,11,2.519,0
3,3.4183,3.3776,0.0051,11,0.794,0
3,3.3944,3.378,0.004,11,0.794,0
3,3.4112,3.3749,-0.0162,11,0.794,0
3,3.4267,3.3708,0.0157,11,0.794,0
3,3.4495,3.3649,0.0157,11,3.147,0
3,3.4028,3.3689,0.0083,11,3.147,0
3,3.3908,3.3689,0.0125,11,3.147,0
3,3.416,3.3751,0.0125,11,4.359,0
3,3.3621,3.3671,0.0115,11,4.359,0
3,3.4255,3.3618,-0.0077,11,4.359,0
3,3.404,3.3622,-0.0077,11,1.56,0
3,3.3836,3.3655,0.003,11,1.56,0
3,3.3896,3.3655,0.003,11,1.56,0
3,3.3633,3.3526,-0.0066,11,0.879,0
3,3.3992,3.3527,0.003,11,0.879,0
3,3.4004,3.361,0.0051,11,0.879,0
3,3.3812,3.3597,0.003,11,0.879,0
3,3.3872,3.3574,0.003,11,1.027,0
3,3.4566,3.3663,0.0051,11,1.027,0
3,3.3764,3.3663,0.0115,11,1.027,0
3,3.374,3.3643,-0.0088,11,4.525,0
3,3.4363,3.3672,-0.0045,10,4.525,0
3,3.3956,3.3699,0.0104,10,4.525,0
3,3.3836,3.364,0.0104,10,-0.274,0
3,3.3788,3.3483,-0.0024,10,-0.274,0
3,3.4243,3.3483,-0.0034,10,-0.274,0
3,3.4243,3.3448,-0.0098,10,-0.194,0
3,3.4004,3.3538,-0.0056,10,-0.194,0
3,3.4171,3.3594,-0.0013,10,-0.194,0
3,3.4219,3.3582,-0.0013,10,-0.194,0
3,3.3693,3.3567,0.0061,10,-1.548,0
3,3.4147,3.3567,0.003,10,-1.548,0
3,3.3788,3.3629,0.0019,10,-1.548,0
3,3.41,3.3584,-0.0024,10,0.462,0
3,3.4124,3.3685,0.003,10,0.462,0
3,3.4052,3.379,0.003,10,0.462,0
3,3.4315,3.381,-0.0013,10,10.38,0
3,3.4315,3.381,-0.0013,10,10.38,0
3,3.4363,3.3825,0.003,10,10.38,0
3,3.398,3.3787,0.0008,10,-1.911,0
