Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
4,-6.2626,-7.2099,0.0832,0,30.09,4.32
4,-7.9852,-6.6816,0.0847,0,34.52,4.32
4,-5.5659,-7.16,-0.0441,0,32.396,4.32
4,-10.5806,-6.7067,-0.2599,0,26.594,4.36
4,-11.3683,-7.2091,-0.1685,0,28.396,4.36
4,-6.0136,-6.8871,0.3126,0,31.658,4.32
4,-4.7854,-7.0562,-0.0121,0,25.648,4.32
4,-6.6086,-7.2134,0.3297,0,32.84,4.32
4,-4.8033,-7.0362,0.1963,0,26.36,4.32
4,-7.4178,-7.1455,-0.3873,0,28.594,4.32
4,-8.3025,-6.6222,-0.2742,0,27.609,4.32
4,-10.9984,-7.3534,-0.0391,0,29.997,4.32
4,-6.5403,-6.9996,0.0893,0,29.429,4.32
4,-6.2686,-7.1823,0.0696,0,33.999,4.32
4,-4.4131,-6.8667,0.3217,0,30.638,4.32
4,-6.1549,-6.8671,0.4504,0,30.924,4.32
4,-7.5112,-7.2467,0.0025,0,31.411,4.32
4,-9.0794,-6.7101,-0.9286,0,25.588,4.32
4,-9.5283,-7.2209,-0.4796,0,35.405,4.32
4,-6.4745,-7.0545,0.3412,0,37.652,4.32
4,-6.7259,-7.1646,0.139,0,34.499,4.32
4,-6.034,-7.2052,0.0943,0,30.368,4.32
4,-8.7801,-6.7292,-0.9176,0,37.12,4.32
4,-14.0438,-7.1789,0.5903,0,34.327,4.32
4,-9.4565,-7.0774,0.1979,0,34.059,4.32
4,-7.1604,-7.2465,0.6414,0,40.819,4.32
4,-5.8436,-6.7873,-0.3241,0,38.036,4.32
4,-10.5901,-7.6005,0.0334,0,36.42,4.32
4,-8.3947,-6.8969,0.6793,0,33.213,4.32
4,-5.3037,-7.62,-0.2695,0,33.111,4.32
4,-3.9187,-6.8997,-0.0876,0,33.962,4.32
4,-3.623,-6.8121,-0.1753,0,36.353,4.32
4,-5.4785,-7.4163,-0.1303,0,39.72,4.32
4,-9.593,-6.6488,-0.1982,0,30.707,4.32
4,-13.3949,-7.5396,0.5461,0,31.923,4.32
4,-4.7662,-6.9653,0.1718,0,31.172,4.32
4,-4.455,-7.4,-0.0357,0,31.38,4.32
4,-5.876,-6.9193,0.3707,0,42.448,4.32
4,-1.904,-7.1416,0.4069,0,46.402,4.32
4,-6.5882,-7.2246,0.7196,0,41.629,4.32
4,-8.1229,-6.8622,0.4532,0,42.478,4.32
4,-6.3847,-7.3771,-0.0233,0,38.675,4.32
4,-3.7355,-6.473,0.4642,0,39.203,4.32
4,-5.3205,-7.2749,-0.4705,0,43.598,4.32
4,-6.5499,-6.9899,0.5283,0,38.947,4.32
4,-8.4641,-7.0763,0.5054,0,44.893,4.32
4,-8.2845,-7.7692,0.7663,0,44.661,4.32
4,-10.2071,-6.9751,0.069,0,42.892,4.32
4,-8.5467,-7.2753,-0.8016,0,39.865,4.32
4,-8.0714,-6.8845,0.4726,0,38.828,4.32
4,-6.8049,-7.7021,0.0543,0,46.248,4.32
4,-4.1497,-7.3065,-0.2145,0,40.121,4.28
4,-4.5867,-7.1274,-0.0274,0,41.916,4.28
4,-6.174,-7.3952,0.058,0,38.375,4.32
4,-10.0287,-6.9186,-0.245,0,45.942,4.32
4,-7.443,-7.4477,0.5232,0,46.217,4.25
4,-6.678,-6.8495,0.0463,0,35.394,4.25
4,-7.115,-7.3694,0.0278,0,48.615,4.28
4,-3.696,-6.6422,0.3309,0,41.998,4.28
4,-3.8157,-7.1444,0.0378,0,40.589,4.28
4,-6.0364,-6.7669,-0.4709,0,38.707,4.28
4,-9.4696,-6.8811,-0.9655,0,39.805,4.28
4,-8.4761,-7.4726,0.0919,0,39.589,4.28
4,-2.5744,-6.5936,0.4268,0,34.495,4.21
4,-8.0236,-7.5617,-0.4079,0,41.73,4.21
4,-4.5735,-6.8326,0.0184,0,44.204,4.21
4,-5.8712,-7.2639,-0.4064,0,36.749,4.21
4,-6.9258,-7.1472,0.2272,0,41.903,4.21
4,-10.1652,-7.2078,-0.6912,0,35.698,4.21
4,-15.2816,-7.5131,-0.5453,0,36.347,4.21
4,-6.1441,-6.841,0.0181,0,34.977,4.21
4,-5.4857,-6.9868,-0.2933,0,31.749,4.21
4,-5.5336,-6.9752,0.0573,0,48.053,4.21
4,-6.4649,-6.9792,-0.9138,0,31.878,4.25
4,-8.415,-7.2026,0.469,0,33.906,4.25
4,-7.5052,-6.6478,0.0493,0,33.808,4.21
4,-6.7163,-7.277,-0.3841,0,36.397,4.21
4,-3.7798,-6.2817,0.1267,0,40.058,4.25
4,-5.6222,-6.7395,-0.304,0,36.468,4.25
4,-9.9186,-7.2521,0.6198,0,38.459,4.21
4,-7.7399,-6.899,0.2823,0,37.921,4.21
4,-8.0966,-7.4596,-0.4648,0,36.07,4.18
4,-5.1433,-6.9497,0.2924,0,37.005,4.18
4,-5.099,-7.1437,0.2024,0,36.104,4.18
4,-7.1497,-7.6202,-0.1691,0,32.805,4.18
4,-11.3683,-7.0985,-0.456,0,32.244,4.18
4,-7.832,-7.5688,-0.5886,0,33.454,4.18
4,-8.0607,-6.5011,0.4153,0,34.579,4.18
4,-5.8029,-7.1078,-0.4148,0,35.313,4.18
4,-4.127,-6.3864,0.1145,0,33.987,4.18
4,-7.7386,-6.4415,0.1484,0,30.744,4.18
4,-8.1911,-7.0566,0.087,0,31.413,4.21
4,-5.2295,-6.0139,0.4508,0,31.711,4.21
4,-6.9091,-6.815,0.2098,0,32.504,4.18
4,2.4547,-5.4479,0.1159,0,41.805,4.18
4,-3.775,-6.0976,0.0697,0,45.886,4.18
4,-6.4685,-6.9561,0.2791,0,32.17,4.18
4,-8.2642,-6.4449,-0.8299,0,27.324,4.18
4,-9.4972,-6.7484,-0.5481,0,33.08,4.18
4,-6.0244,-6.1698,0.3094,0,40.387,4.21
4,-5.2822,-6.8187,-0.2537,0,33.845,4.21
4,-3.8588,-6.8576,0.2439,0,31.557,4.21
4,-7.3304,-6.1624,-0.5671,0,22.209,4.21
4,-8.2163,-6.3918,0.6713,0,33.923,4.21
4,-6.6936,-5.6891,1.001,0,28.298,4.21
4,-4.6465,-6.5748,-0.2798,0,24.016,4.21
4,-2.5001,-5.6174,0.1491,0,30.599,4.21
4,-3.6075,-6.22,-0.0639,0,29.139,4.18
4,-5.9059,-6.2134,0.1145,0,31.166,4.18
4,-8.9214,-5.3258,-0.4311,0,40.494,4.21
4,-13.1687,-6.6417,-0.2781,0,29.681,4.21
4,-7.8153,-5.8595,0.0768,0,42.099,4.18
4,-4.8117,-6.5073,0.0673,0,32.359,4.18
4,-3.6398,-5.7398,-0.07,0,28.299,4.18
4,-4.285,-6.4433,-0.4102,0,31.539,4.18
4,-4.0492,-6.0709,0.0067,0,41.976,4.18
4,-3.3836,-5.8027,0.0465,0,40.278,4.18
4,-5.8257,-7.1583,-0.4494,0,37.847,4.18
4,-7.5136,-6.1422,-0.0785,0,39.027,4.18
4,-8.3947,-6.7365,-1.1539,0,39.754,4.18
4,-6.5511,-6.2471,0.5607,0,36.521,4.18
4,-5.0356,-6.8016,-0.0004,0,37.307,4.18
4,-2.9574,-6.3372,0.0442,0,30.357,4.18
4,-3.6841,-5.96,0.2642,0,30.932,4.18
4,-5.9813,-6.4015,-0.0625,0,37.894,4.18
4,-9.7294,-5.5054,-0.1971,0,39.562,4.18
4,-9.9904,-6.6403,0.2846,0,42.162,4.18
4,-6.9126,-5.6723,0.3794,0,37.925,4.18
4,-4.534,-6.5191,0.1074,0,34.236,4.18
4,-0.2424,-4.9749,0.1415,0,27.829,4.21
4,-2.5923,-5.4034,0.6281,0,41.645,4.21
4,-4.4239,-5.86,-0.2182,0,33.919,4.21
4,-9.4385,-5.0023,0.2081,0,39.981,4.21
4,-7.0252,-6.1576,-0.4798,0,25.988,4.21
4,-5.9095,-4.5929,-0.4006,0,27.621,4.21
4,-8.8855,-5.5824,-0.5488,0,29.524,4.21
4,-3.0364,-5.3578,0.0062,0,34.628,4.21
4,-3.7463,-5.6467,0.1072,0,33.149,4.21
4,-2.08,-5.4076,0.2672,0,31.567,4.21
4,-1.5712,-5.7551,0.4035,0,26.496,4.18
4,-6.7894,-5.8463,0.567,0,29.122,4.18
4,-6.9126,-5.2507,-0.0733,0,29.458,4.18
4,-5.7622,-6.0961,-0.6131,0,34.879,4.18
4,-5.5743,-5.5799,-0.5884,0,29.584,4.18
4,-5.4606,-6.1816,-0.3707,0,28.257,4.18
4,-4.4765,-5.6949,0.0119,0,26.163,4.18
4,-5.4175,-5.8527,-0.1424,0,29.674,4.18
4,-6.01,-6.0695,-0.326,0,30.046,4.18
4,-5.2008,-5.6719,0.6134,0,28.959,4.18
4,-4.443,-6.106,-0.3619,0,31.942,4.18
4,-9.2793,-5.318,-0.7608,0,31.481,4.18
4,-11.4844,-6.1061,-0.4274,0,30.937,4.18
4,-5.4953,-5.4399,0.1273,0,31.755,4.18
4,-5.9957,-6.0928,0.4188,0,33.845,4.18
4,-3.307,-5.7761,0.548,0,31.242,4.18
4,-4.1246,-5.3609,1.0917,0,29.619,4.18
4,-7.0946,-6.0368,0.7567,0,27.902,4.18
4,-9.4637,-4.8751,-0.0022,0,26.398,4.18
4,-7.5208,-6.1967,-0.438,0,30.053,4.18
4,-4.7686,-6.05,0.1319,0,25.845,4.18
4,-5.3504,-6.0953,-0.1877,0,27.691,4.18
4,-6.6325,-6.0838,0.1346,0,24.133,4.18
4,-5.1146,-5.625,-0.4691,0,23.061,4.18
4,-8.2247,-6.0181,-0.3814,0,30.623,4.18
4,-4.9614,-5.4748,-0.108,0,31.754,4.18
4,-6.1788,-6.0218,-0.4331,0,38.066,4.18
4,-4.06,-5.898,0.0293,0,44.363,4.18
4,-5.1649,-6.0721,-0.0185,0,38.746,4.18
4,-3.957,-6.2003,0.4777,0,39.998,4.18
4,-4.4095,-5.5313,-0.1167,0,41.161,4.18
4,-5.791,-6.0039,-0.7897,0,35.537,4.18
4,-4.7926,-5.7338,0.1853,0,34.423,4.18
4,-4.6609,-5.8158,-0.1403,0,34.477,4.18
4,-3.2304,-4.8911,-0.6015,0,33.192,4.18
4,-4.1749,-5.4184,0.2846,0,35.654,4.18
4,-6.3979,-5.923,0.4554,0,33.779,4.18
4,-4.7615,-5.27,0.0831,0,32.736,4.18
4,-9.0543,-5.7241,-0.7187,0,32.243,4.18
4,-5.876,-5.4713,0.4822,0,38.06,4.18
4,-7.7255,-5.3761,-0.2445,0,35.08,4.18
4,-2.9131,-5.3343,-0.5557,0,41.344,4.18
4,-5.1469,-5.8424,0.2182,0,39.154,4.18
4,-6.4146,-6.0537,0.2258,0,39.07,4.18
4,-6.2375,-5.3988,0.3685,0,34.332,4.18
4,-4.8381,-6.0197,-0.508,0,37.528,4.18
4,-4.9314,-5.4364,-0.0228,0,35.694,4.14
4,-5.4953,-5.9389,-0.214,0,35.845,4.14
4,-4.3066,-6.0262,0.0916,0,36.207,4.14
4,-4.4083,-5.8529,0.0587,0,31.756,4.14
4,-3.8146,-5.6522,0.4967,0,41.067,4.14
4,-6.0244,-5.8282,1.1112,0,37.511,4.14
4,-4.886,-6.368,-0.5499,0,34.133,4.14
4,-6.0831,-5.8861,-0.1792,0,32.092,4.14
4,-7.0491,-6.0851,-0.3977,0,32.538,4.14
4,-5.0164,-5.9632,0.1335,0,31.057,4.14
4,-6.2459,-5.9851,-0.6071,0,30.771,4.18
4,-5.3181,-6.0226,0.4669,0,30.829,4.18
4,-5.7168,-5.4803,0.6771,0,27.18,4.14
4,-13.1496,-6.0766,-0.3406,0,30.269,4.14
4,-15.9831,-5.9103,-0.4977,0,37.82,4.14
4,-6.0483,-7.5709,-0.8265,0,32.618,4.14
4,-6.8217,-6.8778,0.7796,0,36.329,4.18
4,-13.8893,-5.7846,-0.367,0,43.693,4.18
4,-7.7698,-5.6852,0.7741,0,35.795,4.18
4,-7.2502,-6.9066,1.235,0,38.096,4.18
4,-14.0653,-6.2696,0.3682,0,35.641,4.18
4,-7.8703,-6.5118,-0.138,0,35.744,4.18
4,-5.263,-5.9245,-0.2743,0,40.054,4.18
4,-5.8987,-6.5742,-0.2431,0,40.294,4.18
4,-2.6833,-5.9644,0.254,0,37.381,4.18
4,-6.0352,-6.3122,-0.0954,0,34.662,4.18
4,-6.1573,-6.3933,0.6326,0,36.375,4.18
4,-8.7574,-5.6122,-0.9241,0,35.686,4.18
4,-8.7693,-6.5546,-0.1579,0,36.193,4.18
4,-4.7435,-6.0532,0.8403,0,35.5,4.18
4,-5.7814,-6.6243,0.0357,0,31.633,4.18
4,-2.8054,-5.7002,0.2947,0,33.116,4.18
4,-3.9785,-6.0517,0.0786,0,35.738,4.18
4,-4.3927,-5.9858,-0.0503,0,42.958,4.18
4,-3.7691,-5.8845,0.6347,0,35.402,4.18
4,-3.7715,-5.9688,-0.794,0,32.377,4.18
4,-9.2578,-5.6183,-0.3061,0,32.366,4.18
4,-9.1919,-6.5649,-0.045,0,34.115,4.18
4,-7.1664,-5.9606,0.8634,0,37.381,4.18
4,-5.2786,-6.4532,0.3647,0,30.265,4.18
4,-11.3563,-6.6098,-0.8345,0,24.475,4.18
4,-4.8812,-6.2514,0.3192,0,23.684,4.18
4,-5.7838,-6.8016,-0.2161,0,34.643,4.18
4,-6.2746,-4.7517,-0.3528,0,47.086,4.18
4,-4.1928,-6.4936,-0.2252,0,40.726,4.18
4,-3.8876,-5.3371,0.1958,0,39.275,4.18
4,-2.8186,-5.379,0.0818,0,33.988,4.18
4,-5.5815,-6.0653,-0.1504,0,32.433,4.18
4,-8.0487,-5.5124,-0.7233,0,32.787,4.18
4,-7.6441,-6.4168,0.0522,0,33.325,4.18
